model,query,predicted_complexity,confidence,domain,reason,ground_truth_complexity,is_correct
gemma3:1b,What are the effects of global warming on ecosystems?,COMPLEX,0.9,ENVIRONMENTAL,"The query asks about the effects of a complex phenomenon – global warming – on ecosystems, requiring a detailed explanation of the potential impacts and their interconnectedness. It implies a need for nuanced understanding and analysis rather than simple recall of facts.",COMPLEX,True
gemma3:1b,How does the nervous system transmit signals?,SIMPLE,0.9,GENERAL,The nervous system transmits signals through electrical and chemical impulses. It’s a fundamental biological process with relatively straightforward explanations. It’s a basic question about how something works.,COMPLEX,False
gemma3:1b,What are the different types of financial markets?,SIMPLE,0.8,FINANCE,"The query asks about different financial markets, which is a relatively common topic and doesn’t require highly specialized knowledge. It’s a straightforward question about market types.",SIMPLE,True
gemma3:1b,Explain the concept of intellectual property law.,SIMPLE,0.9,GENERAL,"The query asks for a general explanation of intellectual property law. It doesn't require specialized knowledge or deep analysis, suggesting a basic understanding.",COMPLEX,False
gemma3:1b,Describe the process of mitosis in cell division.,COMPLEX,0.95,TECHNICAL,"The query asks for a detailed explanation of a biological process, requiring technical knowledge and a structured explanation of the mitosis process. It implies a need for precise terminology and a detailed explanation rather than a simple fact.",COMPLEX,True
gemma3:1b,Explain the bulking stress and what's its inpact on the heavy materials.,COMPLEX,0.9,TECHNICAL,"The query involves a detailed explanation of bulking stress and its impact on heavy materials, requiring specialized knowledge and analysis. It suggests a need for a thorough understanding of material science and engineering principles.",COMPLEX,True
gemma3:1b,What is Newton's first law of motion?,SIMPLE,0.95,GENERAL,"The query asks for a fundamental concept in physics, which falls under the general category of knowledge.",SIMPLE,True
gemma3:1b,How does a combustion engine work?,SIMPLE,0.9,GENERAL,"The query asks for a basic explanation of how a combustion engine works, which is a fundamental concept. It doesn't require advanced technical knowledge or complex reasoning.",COMPLEX,False
gemma3:1b,What is the difference between speed and velocity?,SIMPLE,0.8,GENERAL,The query asks for a basic explanation of the difference between speed and velocity. It doesn't require deep analysis or specialized knowledge.,SIMPLE,True
gemma3:1b,Explain the working principle of a nuclear reactor.,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of a complex technical process, requiring specialized knowledge and a thorough explanation. It involves understanding nuclear physics and reactor design.",COMPLEX,True
gemma3:1b,What are the basic units of measurement in SI system?,SIMPLE,0.95,GENERAL,"The query asks for basic units of measurement, which is a fundamental concept in many areas. It doesn't require deep analysis or complex reasoning.",SIMPLE,True
gemma3:1b,How does machine learning differ from traditional programming?,SIMPLE,0.8,GENERAL,The query asks for a basic explanation of the differences between machine learning and traditional programming. It doesn't require deep analysis or complex reasoning. It’s a straightforward question about fundamental concepts.,COMPLEX,False
gemma3:1b,What is photosynthesis used for in plants?,SIMPLE,0.95,GENERAL,The query asks about a fundamental biological process. It’s a straightforward question requiring basic knowledge of plant life.,SIMPLE,True
gemma3:1b,Explain stress-strain behavior of ductile materials.,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of stress-strain behavior, requiring specialized knowledge and analysis. It involves complex concepts and technical details, suggesting a higher level of understanding than simple factual recall.",COMPLEX,True
gemma3:1b,What is the purpose of an operating system?,SIMPLE,0.9,GENERAL,The purpose of an operating system is to manage computer hardware and software resources. It provides a platform for applications to run. This is a fundamental concept and doesn’t require deep analysis.,SIMPLE,True
gemma3:1b,How does finite element analysis help in structural design?,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of finite element analysis (FEA) and its application to structural design. This requires a significant understanding of engineering principles and the specific techniques used, indicating a complex topic requiring in-depth explanation.",COMPLEX,True
gemma3:1b,What are the properties of an ideal gas?,SIMPLE,0.95,GENERAL,The query asks for a general overview of gas properties. It doesn't require specialized knowledge or complex reasoning.,SIMPLE,True
gemma3:1b,Explain the difference between AC and DC power transmission.,SIMPLE,0.9,TECHNICAL,"The query asks for a fundamental explanation of two power transmission methods. It implies a basic understanding of the concepts rather than in-depth analysis or specialized knowledge. Therefore, it’s classified as simple.",SIMPLE,True
gemma3:1b,How does corrosion affect marine structures?,COMPLEX,0.8,TECHNICAL,"The query asks for a detailed explanation of corrosion's impact on marine structures, requiring knowledge of materials science, engineering, and potential degradation mechanisms. It implies a need for a nuanced understanding rather than simple factual recall.",COMPLEX,True
gemma3:1b,What is the function of red blood cells?,SIMPLE,0.95,GENERAL,The query asks for a basic explanation of red blood cell function. It’s a straightforward question requiring factual recall.,SIMPLE,True
gemma3:1b,Explain the concept of entropy in thermodynamics.,SIMPLE,0.95,GENERAL,The query asks for a basic explanation of a thermodynamic concept. It doesn't require specialized knowledge or complex reasoning.,COMPLEX,False
gemma3:1b,What are renewable and non-renewable resources?,SIMPLE,0.8,GENERAL,"The query asks about basic resource types, which falls under the general knowledge category.",SIMPLE,True
gemma3:1b,How do tides affect ship operations?,SIMPLE,0.8,GENERAL,The query asks about a basic concept – tides and ship operations – which is a relatively straightforward question requiring factual information. It doesn't involve complex analysis or specialized knowledge.,COMPLEX,False
gemma3:1b,What is the role of classification societies in maritime safety?,SIMPLE,0.9,GENERAL,The query asks about a general topic – the role of classification societies. It doesn’t require specialized knowledge or complex analysis. It’s a straightforward question about a common practice.,COMPLEX,False
gemma3:1b,Explain fatigue failure and its significance in engineering design.,COMPLEX,0.9,TECHNICAL,"The query asks for a detailed explanation of fatigue failure and its impact on engineering design, requiring in-depth knowledge of engineering principles and failure mechanisms. It implies a need for analysis and understanding rather than simple recall of facts.",COMPLEX,True
